Inspection_ID,License,DBA_Name,AKA_Name,Facility_Type,Risk,Address,City,State,Zip,Latitude,Longitude,Inspection_Date,Inspection_Type,Results,criticalFound,pass_flag,fail_flag,tsne_x,tsne_y,is_test,area_num,community_name
2608427,2215704.0,NORTH LAWNDALE YMCA,NORTH LAWNDALE YMCA,Daycare Above and Under 2 Years,Risk 1 (High),3449 W ARTHINGTON ST ,CHICAGO,IL,60624.0,41.8698698475562,-87.7125947389378,2024-12-04,Canvass,Pass,0.0,1.0,0.0,-59.514317,-31.133396,True,29.0,NORTH LAWNDALE
2608429,2749647.0,LEGENDS CHICKEN & FISH CAFE,LEGENDS CHICKEN & FISH,Restaurant,Risk 2 (Medium),303 W 79TH ST,CHICAGO,IL,60620.0,41.7507112587109,-87.6320192852334,2024-12-04,Canvass Re-Inspection,Pass,0.0,1.0,0.0,4.4427414,-10.327835,True,44.0,CHATHAM
2608403,2895873.0,AAA MAXWELL STREET EXPRESS,MAXWELL STREET EXPRESS,Restaurant,Risk 1 (High),7901 S WENTWORTH AVE,CHICAGO,IL,60620.0,41.7507791861438,-87.6291551999602,2024-12-04,Complaint,Fail,1.0,0.0,1.0,60.927155,24.743689,True,44.0,CHATHAM
2608400,1980707.0,POLARIS CHARTER ACADEMY,POLARIS CHARTER ACADEMY,School,Risk 1 (High),620 N Sawyer AVE ,CHICAGO,IL,60624.0,41.8925599831786,-87.7078335192439,2024-12-04,Canvass,Pass,0.0,1.0,0.0,-25.498589,-36.462666,True,23.0,HUMBOLDT PARK
2608380,3002042.0,"CICERO ONE, LTD.","CICERO ONE, LTD.",Grocery Store,Risk 2 (Medium),4801 W CHICAGO AVE ,CHICAGO,IL,60651.0,41.8948927214182,-87.7459270239488,2024-12-03,License,Pass,0.0,1.0,0.0,9.936499,-9.562411,True,25.0,AUSTIN
2608378,2684170.0,Babas Halal,Babas Halal,Restaurant,Risk 1 (High),7901 S DAMEN AVE,CHICAGO,IL,60620.0,41.7501893422934,-87.6729858397721,2024-12-03,Complaint,Fail,1.0,0.0,1.0,74.87702,3.413066,True,71.0,AUBURN GRESHAM
2608373,2665084.0,SANDO STREET,SANDO STREET,Restaurant,Risk 1 (High),1547 N ASHLAND AVE ,CHICAGO,IL,60622.0,41.9102189523446,-87.6675345374835,2024-12-03,Canvass,Fail,1.0,0.0,1.0,45.78953,-23.941422,True,24.0,WEST TOWN
2608366,2997364.0,DUNKIN',DUNKIN',Restaurant,Risk 2 (Medium),2503 S DR MARTIN LUTHER KING JR DR ,CHICAGO,IL,60616.0,41.847420527562,-87.6172118253888,2024-12-03,License,Pass,0.0,1.0,0.0,20.29975,-47.51372,True,33.0,NEAR SOUTH SIDE
2608367,2671368.0,SUSHI +,SHABUPLUS ROTAY HOT POT,Restaurant,Risk 1 (High),1352 N MILWAUKEE AVE ,CHICAGO,IL,60622.0,41.9063247252023,-87.6713510800332,2024-12-03,Canvass,Pass,0.0,1.0,0.0,0.5437262,-46.248905,True,24.0,WEST TOWN
2608364,2988535.0,SMOOTHIE KING,SMOOTHIE KING,Restaurant,Risk 2 (Medium),3479 N BROADWAY ,CHICAGO,IL,60657.0,41.9454077107992,-87.6459284098484,2024-12-03,License,Fail,1.0,0.0,1.0,-6.8338017,46.69653,True,6.0,LAKE VIEW
2608362,2712674.0,"GYRO GRILL MG, INC",GYRO GRILL,Restaurant,Risk 1 (High),3660 W 111TH ST ,CHICAGO,IL,60655.0,41.6914854716219,-87.713030088589,2024-12-03,Complaint,Pass,0.0,1.0,0.0,-65.9964,-30.00999,True,74.0,MOUNT GREENWOOD
2608361,3002257.0,ALBUX MARKET,ALBUX MARKET,Grocery Store,Risk 3 (Low),10345 S HALSTED ST ,CHICAGO,IL,60628.0,41.7055844579909,-87.6426469367646,2024-12-03,License,Pass w/ Conditions,0.0,0.0,0.0,0.42741007,26.745459,True,49.0,ROSELAND
2608338,31782.0,CROATIAN CULTURAL CENTER OF CHICAGO,CROATIAN CULTURAL CENTER OF CHICAGO,Restaurant,Risk 1 (High),2845 W DEVON AVE,CHICAGO,IL,60659.0,41.9974197150081,-87.7014226815792,2024-12-03,Canvass Re-Inspection,Pass,0.0,1.0,0.0,-24.582176,75.4783,True,2.0,WEST RIDGE
2608325,2993538.0,CRADLE 2 CREATIONS LEARNING CENTER,CRADLE 2 CREATIONS LEARNING CENTER,Children's Services Facility,Risk 1 (High),10622-10624 S HALSTED ST ,CHICAGO,IL,60628.0,41.7007443900248,-87.6427883850186,2024-12-03,License,Fail,1.0,0.0,1.0,26.377876,3.8960004,True,73.0,WASHINGTON HEIGHTS
2608321,2929998.0,POPEYE'S LOUISIANA KITCHEN,POPEYE'S LOUISIANA KITCHEN,Restaurant,Risk 1 (High),10331 S KEDZIE AVE,CHICAGO,IL,60655.0,41.7052084894931,-87.7011632562526,2024-12-03,Complaint,Pass,0.0,1.0,0.0,-10.63225,-27.484823,True,74.0,MOUNT GREENWOOD
2608309,17085.0,RUDY'S FOOD & LIQUOR,RUDY'S FOOD & LIQUOR,Grocery Store,Risk 3 (Low),1558 W 69TH ST,CHICAGO,IL,60636.0,41.768662295987,-87.6638416537146,2024-12-03,Complaint,Fail,1.0,0.0,1.0,1.5825686,52.51257,True,67.0,WEST ENGLEWOOD
