Inspection_ID,License,DBA_Name,AKA_Name,Facility_Type,Risk,Address,City,State,Zip,Latitude,Longitude,Inspection_Date,Inspection_Type,Results,criticalFound,pass_flag,fail_flag,tsne_x,tsne_y,is_test,area_num,community_name
2608427,2215704.0,NORTH LAWNDALE YMCA,NORTH LAWNDALE YMCA,Daycare Above and Under 2 Years,Risk 1 (High),3449 W ARTHINGTON ST ,CHICAGO,IL,60624.0,41.8698698475562,-87.7125947389378,2024-12-04,Canvass,Pass,0.0,1.0,0.0,0.7439967,10.813232,True,29.0,NORTH LAWNDALE
2608429,2749647.0,LEGENDS CHICKEN & FISH CAFE,LEGENDS CHICKEN & FISH,Restaurant,Risk 2 (Medium),303 W 79TH ST,CHICAGO,IL,60620.0,41.7507112587109,-87.6320192852334,2024-12-04,Canvass Re-Inspection,Pass,0.0,1.0,0.0,-2.0616045,4.070435,True,44.0,CHATHAM
2608403,2895873.0,AAA MAXWELL STREET EXPRESS,MAXWELL STREET EXPRESS,Restaurant,Risk 1 (High),7901 S WENTWORTH AVE,CHICAGO,IL,60620.0,41.7507791861438,-87.6291551999602,2024-12-04,Complaint,Fail,1.0,0.0,1.0,1.6860106,-3.2793615,True,44.0,CHATHAM
2608400,1980707.0,POLARIS CHARTER ACADEMY,POLARIS CHARTER ACADEMY,School,Risk 1 (High),620 N Sawyer AVE ,CHICAGO,IL,60624.0,41.8925599831786,-87.7078335192439,2024-12-04,Canvass,Pass,0.0,1.0,0.0,-0.7639259,6.9275513,True,23.0,HUMBOLDT PARK
2608380,3002042.0,"CICERO ONE, LTD.","CICERO ONE, LTD.",Grocery Store,Risk 2 (Medium),4801 W CHICAGO AVE ,CHICAGO,IL,60651.0,41.8948927214182,-87.7459270239488,2024-12-03,License,Pass,0.0,1.0,0.0,-2.1044302,3.1901975,True,25.0,AUSTIN
2608378,2684170.0,Babas Halal,Babas Halal,Restaurant,Risk 1 (High),7901 S DAMEN AVE,CHICAGO,IL,60620.0,41.7501893422934,-87.6729858397721,2024-12-03,Complaint,Fail,1.0,0.0,1.0,3.1254537,-2.9934533,True,71.0,AUBURN GRESHAM
2608373,2665084.0,SANDO STREET,SANDO STREET,Restaurant,Risk 1 (High),1547 N ASHLAND AVE ,CHICAGO,IL,60622.0,41.9102189523446,-87.6675345374835,2024-12-03,Canvass,Fail,1.0,0.0,1.0,2.5322728,2.928204,True,24.0,WEST TOWN
2608366,2997364.0,DUNKIN',DUNKIN',Restaurant,Risk 2 (Medium),2503 S DR MARTIN LUTHER KING JR DR ,CHICAGO,IL,60616.0,41.847420527562,-87.6172118253888,2024-12-03,License,Pass,0.0,1.0,0.0,-3.32805,4.512013,True,33.0,NEAR SOUTH SIDE
2608367,2671368.0,SUSHI +,SHABUPLUS ROTAY HOT POT,Restaurant,Risk 1 (High),1352 N MILWAUKEE AVE ,CHICAGO,IL,60622.0,41.9063247252023,-87.6713510800332,2024-12-03,Canvass,Pass,0.0,1.0,0.0,-2.3118632,5.695523,True,24.0,WEST TOWN
2608364,2988535.0,SMOOTHIE KING,SMOOTHIE KING,Restaurant,Risk 2 (Medium),3479 N BROADWAY ,CHICAGO,IL,60657.0,41.9454077107992,-87.6459284098484,2024-12-03,License,Fail,1.0,0.0,1.0,-4.312935,2.263288,True,6.0,LAKE VIEW
2608362,2712674.0,"GYRO GRILL MG, INC",GYRO GRILL,Restaurant,Risk 1 (High),3660 W 111TH ST ,CHICAGO,IL,60655.0,41.6914854716219,-87.713030088589,2024-12-03,Complaint,Pass,0.0,1.0,0.0,0.87131774,11.2358465,True,74.0,MOUNT GREENWOOD
2608361,3002257.0,ALBUX MARKET,ALBUX MARKET,Grocery Store,Risk 3 (Low),10345 S HALSTED ST ,CHICAGO,IL,60628.0,41.7055844579909,-87.6426469367646,2024-12-03,License,Pass w/ Conditions,0.0,0.0,0.0,1.058382,1.1855123,True,49.0,ROSELAND
2608338,31782.0,CROATIAN CULTURAL CENTER OF CHICAGO,CROATIAN CULTURAL CENTER OF CHICAGO,Restaurant,Risk 1 (High),2845 W DEVON AVE,CHICAGO,IL,60659.0,41.9974197150081,-87.7014226815792,2024-12-03,Canvass Re-Inspection,Pass,0.0,1.0,0.0,-6.740188,1.3603985,True,2.0,WEST RIDGE
2608325,2993538.0,CRADLE 2 CREATIONS LEARNING CENTER,CRADLE 2 CREATIONS LEARNING CENTER,Children's Services Facility,Risk 1 (High),10622-10624 S HALSTED ST ,CHICAGO,IL,60628.0,41.7007443900248,-87.6427883850186,2024-12-03,License,Fail,1.0,0.0,1.0,1.0798326,2.020236,True,73.0,WASHINGTON HEIGHTS
2608321,2929998.0,POPEYE'S LOUISIANA KITCHEN,POPEYE'S LOUISIANA KITCHEN,Restaurant,Risk 1 (High),10331 S KEDZIE AVE,CHICAGO,IL,60655.0,41.7052084894931,-87.7011632562526,2024-12-03,Complaint,Pass,0.0,1.0,0.0,-1.2456328,5.847097,True,74.0,MOUNT GREENWOOD
2608309,17085.0,RUDY'S FOOD & LIQUOR,RUDY'S FOOD & LIQUOR,Grocery Store,Risk 3 (Low),1558 W 69TH ST,CHICAGO,IL,60636.0,41.768662295987,-87.6638416537146,2024-12-03,Complaint,Fail,1.0,0.0,1.0,-4.307023,0.9003403,True,67.0,WEST ENGLEWOOD
2608304,1490824.0,GUERREROS PIZZA INC,GUERREROS PIZZA,Restaurant,Risk 1 (High),2024 S CALIFORNIA AVE ,CHICAGO,IL,60608.0,41.8538287295256,-87.6956563986424,2024-12-03,Canvass Re-Inspection,Pass,0.0,1.0,0.0,-4.7601614,2.3599663,True,30.0,SOUTH LAWNDALE
2608285,2224746.0,UCAN ACADEMY AND HIGH SCHOOL,UCAN ACADEMY AND HIGH SCHOOL,School,Risk 2 (Medium),3110 W GRAND AVE ,CHICAGO,IL,60622.0,41.8975645991552,-87.7044589821482,2024-12-03,Canvass,Fail,1.0,0.0,1.0,3.0542517,-3.274971,True,23.0,HUMBOLDT PARK
2608283,29051.0,ERICSON ELEMENTARY SCHOOL,ERICSON ELEMENTARY SCHOOL,School,Risk 1 (High),3600 W FIFTH AVE ,CHICAGO,IL,60624.0,41.8757619056884,-87.7158457254019,2024-12-03,Canvass,Fail,1.0,0.0,1.0,-5.710482,1.8100178,True,27.0,EAST GARFIELD PARK
2608281,2766627.0,WAFFLE PANCAKE HOUSE INC,WAFFLE PANCAKE HOUSE,Restaurant,Risk 1 (High),3458 W 111TH ST,CHICAGO,IL,60655.0,41.6915547731753,-87.7081006484005,2024-12-03,Canvass,Pass,0.0,1.0,0.0,-0.9824791,5.9796433,True,74.0,MOUNT GREENWOOD
2608279,28479.0,WHITE CASTLE #53,WHITE CASTLE #53,Restaurant,Risk 2 (Medium),1400 W 79TH ST ,CHICAGO,IL,60620.0,41.7505349812582,-87.6586520622897,2024-12-03,Canvass Re-Inspection,Pass,0.0,1.0,0.0,-6.9546638,1.315142,True,71.0,AUBURN GRESHAM
2608275,3002287.0,SANDWICHON CAFE,SANDWICHON CAFE,Restaurant,Risk 1 (High),2651 N HARLEM AVE ,CHICAGO,IL,60707.0,41.9286584525103,-87.8062730532336,2024-12-03,License,Fail,1.0,0.0,1.0,0.5277708,1.7385983,True,18.0,MONTCLARE
2608261,2247208.0,J & J FISH AND CHICKEN,JJ FISH,Restaurant,Risk 2 (Medium),8300 S HOLLAND RD,CHICAGO,IL,60620.0,41.7434273330566,-87.6321811320245,2024-12-02,Complaint,Fail,1.0,0.0,1.0,1.9050062,-2.9717643,True,44.0,CHATHAM
2608255,2431903.0,OAATO FOODS INC.,OAATO FOODS,Restaurant,Risk 1 (High),7118 N CLARK ST,CHICAGO,IL,60626.0,42.0120102335511,-87.6746862866216,2024-12-02,Canvass,Pass,0.0,1.0,0.0,-0.6158514,5.198827,True,1.0,ROGERS PARK
2608252,2912463.0,VARIETALE BAGELS & COFFEE,VARIETALE BAGELS & COFFEE,Restaurant,Risk 1 (High),6206 N BROADWAY ,CHICAGO,IL,60660.0,41.9948051667395,-87.6605603134528,2024-12-02,Canvass Re-Inspection,Pass,0.0,1.0,0.0,0.7200037,10.641523,True,77.0,EDGEWATER
2608241,2369189.0,TESFA ETHIOPIAN CUISINE,TESFA ETHIOPIAN CUISINE,Restaurant,Risk 1 (High),5352 N BROADWAY ,CHICAGO,IL,60640.0,41.9797075163928,-87.6601074596661,2024-12-02,Complaint Re-Inspection,Pass,0.0,1.0,0.0,2.844122,9.842742,True,77.0,EDGEWATER
2608236,1303855.0,TAQUERIA EL CHORRITO,TAQUERIA EL CHORRITO,Restaurant,Risk 1 (High),6404 N CLARK ST,CHICAGO,IL,60626.0,41.9982008078141,-87.6707884796761,2024-12-02,Canvass,Pass,0.0,1.0,0.0,-1.4601376,4.6745963,True,1.0,ROGERS PARK
2608235,2749647.0,LEGENDS CHICKEN & FISH CAFE,LEGENDS CHICKEN & FISH,Restaurant,Risk 2 (Medium),303 W 79TH ST,CHICAGO,IL,60620.0,41.7507112587109,-87.6320192852334,2024-12-02,Canvass Re-Inspection,Fail,1.0,0.0,1.0,2.1820133,-3.0291398,True,44.0,CHATHAM
2608229,2646487.0,CAPTAIN HOOKS FISH & CHICKEN,CAPTAIN HOOKS FISH & CHICKEN,Restaurant,Risk 2 (Medium),343 E 103RD ST ,CHICAGO,IL,60628.0,41.7071922270379,-87.6145004650648,2024-12-02,Canvass Re-Inspection,Pass,0.0,1.0,0.0,3.0330474,8.273144,True,49.0,ROSELAND
2608225,2997029.0,LITO'S TACO AND EMPANADA HOUSE,LITO'S TACO AND EMPANADA HOUSE,Restaurant,Risk 1 (High),2460 N CLARK ST ,CHICAGO,IL,60614.0,41.9270667547097,-87.641529677542,2024-12-02,License,Pass,0.0,1.0,0.0,-0.43732157,4.896016,True,7.0,LINCOLN PARK
2608212,2882631.0,KING FISH AND CHICKEN FOOD MART,KING FISH AND CHICKEN FOOD MART,Grocery Store,Risk 2 (Medium),8101 S ASHLAND AVE,CHICAGO,IL,60620.0,41.746625624889,-87.6631962229071,2024-12-02,Canvass,Pass w/ Conditions,0.0,0.0,0.0,-1.6922133,0.28673097,True,71.0,AUBURN GRESHAM
2608208,1842767.0,FOLKLORE,FOLKLORE,Restaurant,Risk 1 (High),2100-2102 W DIVISION ST ,CHICAGO,IL,60622.0,41.9032545150184,-87.6798250453467,2024-12-02,Canvass,Pass,0.0,1.0,0.0,-1.955603,8.267726,True,24.0,WEST TOWN
2608206,2876991.0,THE COFFEE STUDIO,THE COFFEE STUDIO,Restaurant,Risk 2 (Medium),5628 N CLARK ST ,CHICAGO,IL,60660.0,41.9843848248921,-87.669099313872,2024-12-02,Canvass Re-Inspection,Fail,1.0,0.0,1.0,1.2816694,3.1007013,True,77.0,EDGEWATER
2608204,29497.0,THE 3RD COAST,THE 3RD COAST,Restaurant,Risk 1 (High),1260 N DEARBORN ST ,CHICAGO,IL,60610.0,41.9056511434153,-87.630183757229,2024-12-02,Complaint,Pass w/ Conditions,0.0,0.0,0.0,-0.16821574,1.8337554,True,8.0,NEAR NORTH SIDE
2608200,2753883.0,GOURMET DELI & SUBS,GOURMET DELI & SUBS,Restaurant,Risk 2 (Medium),12201-12209 S HALSTED ST ,CHICAGO,IL,60628.0,41.6722695974314,-87.6415764808411,2024-12-02,Canvass Re-Inspection,Pass w/ Conditions,0.0,0.0,0.0,2.1174827,-3.1232424,True,53.0,WEST PULLMAN
2608190,2608946.0,POPS ITALIAN BEEF TWO,POPS ITALIAN BEEF TWO,Restaurant,Risk 1 (High),10337 S KEDZIE AVE ,CHICAGO,IL,60655.0,41.7050324842898,-87.7011601257365,2024-12-02,Complaint Re-Inspection,Pass,0.0,1.0,0.0,-1.1902518,7.0716963,True,74.0,MOUNT GREENWOOD
2608189,2358596.0,"RACHEL'S LEARNING CENTER, LTD.",RACHEL'S LEARNING CENTER,Children's Services Facility,Risk 1 (High),5242-5244 W NORTH AVE ,CHICAGO,IL,60639.0,41.9095907009452,-87.7574042941454,2024-12-02,License Re-Inspection,Pass,0.0,1.0,0.0,2.742146,8.300044,True,25.0,AUSTIN
2608186,2621145.0,ITALIAN FIESTA PIZZERIA,ITALIAN FIESTA PIZZERIA,Restaurant,Risk 1 (High),1306 E 47TH ST ,CHICAGO,IL,60653.0,41.8097752938091,-87.5947365237649,2024-11-29,Canvass Re-Inspection,Pass,0.0,1.0,0.0,0.8221445,11.185932,True,39.0,KENWOOD
2608182,2600678.0,MCDONALD'S,MCDONALD'S,Restaurant,Risk 2 (Medium),3200 W ROOSEVELT RD ,CHICAGO,IL,60624.0,41.8665138881923,-87.7057335990255,2024-11-29,Complaint,Pass,0.0,1.0,0.0,-1.8502007,5.9510164,True,29.0,NORTH LAWNDALE
2608174,2121030.0,FREMONT BAR,WELCOME TO THE FARM,Restaurant,Risk 2 (Medium),15 W ILLINOIS ST,CHICAGO,IL,60654.0,41.8907435194424,-87.6286700601906,2024-11-29,Canvass,Fail,1.0,0.0,1.0,0.14002208,1.7101821,True,8.0,NEAR NORTH SIDE
2608169,3001832.0,ONE WAY FOOD MART,ONE WAY FOOD MART,Grocery Store,Risk 2 (Medium),3022 W MADISON ,CHICAGO,IL,60612.0,41.881126474537,-87.7022366178726,2024-11-29,License,Pass w/ Conditions,0.0,0.0,0.0,-1.4242532,1.700361,True,27.0,EAST GARFIELD PARK
2608164,2208932.0,RML CHICAGO,RML CHICAGO,Hospital,Risk 1 (High),3435 W VAN BUREN ,CHICAGO,IL,60624.0,41.8753290621097,-87.7121470280514,2024-11-29,Canvass,Pass,0.0,1.0,0.0,0.40396696,6.5304604,True,27.0,EAST GARFIELD PARK
